year,RegionName,population,median_value,gross_rent_total,median_income
2016,Big Stone Gap VA,61495.82857142858,83174.28571428574,602.0000000000002,34160.200000000004
2017,Big Stone Gap VA,59987.85714285716,82768.57142857145,613.0000000000002,34049.4
2018,Big Stone Gap VA,54202.02857142859,83634.28571428574,620.0000000000002,35305.600000000006
2019,Big Stone Gap VA,44138.34285714287,85771.42857142861,623.0000000000002,37928.80000000001
2020,Big Stone Gap VA,29796.799999999996,89180.00000000007,622.0000000000001,41919.000000000015
2021,Big Stone Gap VA,11177.39999999998,93860.00000000012,617.0000000000001,47276.20000000003
2022,Big Stone Gap VA,-11719.857142857203,99811.42857142874,608.0,54000.40000000006
2015,Billings MT,165516.2857142857,193711.42857142875,760.9142857142859,52433.48571428571
2016,Billings MT,165015.05714285714,202034.28571428583,793.9428571428574,55022.05714285715
2017,Billings MT,166940.1142857143,210428.5714285715,825.6857142857144,57331.9142857143
2018,Billings MT,171291.45714285717,218894.2857142858,856.1428571428572,59363.057142857164
2019,Billings MT,178069.0857142858,227431.42857142873,885.3142857142857,61115.485714285736
2020,Billings MT,187273.0000000001,236040.00000000026,913.1999999999998,62589.200000000026
2021,Billings MT,198903.20000000013,244720.0000000004,939.7999999999997,63784.20000000002
2022,Billings MT,212959.6857142859,253471.4285714292,965.1142857142852,64700.48571428573
2015,Binghamton NY,248353.45714285714,110562.85714285714,692.8000000000004,48544.971428571436
2016,Binghamton NY,246933.7714285715,111988.57142857145,712.0000000000002,49609.3142857143
2017,Binghamton NY,245365.94285714297,113657.1428571429,732.2000000000003,50936.22857142859
2018,Binghamton NY,243649.97142857153,115568.57142857148,753.4000000000003,52525.7142857143
2019,Binghamton NY,241785.8571428572,117722.8571428572,775.6000000000006,54377.771428571425
2020,Binghamton NY,239773.59999999995,120120.00000000006,798.8000000000009,56492.399999999965
2021,Binghamton NY,237613.1999999998,122760.00000000006,823.0000000000013,58869.59999999993
2022,Binghamton NY,235304.65714285674,125642.8571428572,848.2000000000018,61509.371428571314
2015,Birmingham AL,1132941.885714286,146505.71428571438,794.1142857142862,49326.94285714287
