"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03"
"Lincoln Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46815286624204,2.50796178343949,2.87808641975309,2.51359627633513,2.25944055944056,2.25333333333333,2.23809523809524,2.11749788672866,2.08944616636924,2.11749788672866,1.92307692307692,2.06666666666667,2.28125,2.28571428571429,2.10540935672515,1.9,1.9,1.9,1.81153846153846,2,2.00801068090788,2.10504070827957,2.20639816158684,2.20125786163522,2.28232262309464,2.19,2.42121212121212,2.11,2.1562082777036,2.05882352941176,1.93214619492657,2.09090909090909,2.14814814814815,2.14285714285714,2.12698412698413,2.14814814814815,2.10240912933221,2.05555555555556,2.0625,2.11027638190955,2.10740912933221,2.07547169811321,2.10481825866441,2.10973965287049,2.14619492656876,2.10555555555556,2.10555555555556,2.17840909090909,2.175,2.23,2.23375,2.16481481481481,2.05,1.99,2,2,2.06896551724138,2.37787639710717,2.16759259259259
"Downtown","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",136,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12147134302823,2.16236722306525,2.2302648515925,2.32558139534884,2.31704043534493,2.30414746543779,2.28426395939086,2.34338390346767,2.30547550432277,2.34375,2.35975066785396,2.3706700402279,2.37302248126561,2.39172047311582,2.4,2.40481927710843,2.42812585413285,2.45058244136123,2.4,2.37226277372263,2.33430656934307,2.37862723214286,2.36816448378803,2.33236151603499,2.41449669646327,2.44957495461528,2.40963855421687,2.4812030075188,2.4812030075188,2.47058823529412,2.47116982386175,2.43142144638404,2.44334308369432,2.44525547445255,2.45746691871456,2.43412384716733,2.40481927710843,2.46312494984351,2.45566166439291,2.43993979599663,2.4364406779661,2.42483026188167,2.47058823529412,2.38095238095238,2.37429821518333,2.38744884038199,2.38738738738739,2.43760710637873,2.47058823529412,2.40481927710843,2.42483026188167,2.43811259940292,2.40963855421687,2.41379310344828,2.42483026188167,2.41931168266497,2.4364406779661,2.4373730534868,2.43142144638404,2.43538767395626,2.4373730534868,2.43909095332245,2.43183492999263,2.44160177975528,2.43183492999263,2.46523388116308,2.44379276637341,2.44716351501669,2.44379276637341,2.48520710059172,2.4800708591674,2.47916586436631
"Carroll Gardens","New York","NY","New York-Newark-Jersey City","Kings County",137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.125,3,3,3.05882352941176,3.22857142857143,3.43303571428571,3.46153846153846,3.39802631578947,3.36602870813397,3.5,3.46666666666667,3.41798941798942,3.45454545454545,3.4,3.44444444444444,3.3125,3.30121668597914,3.3912037037037,3.41883116883117,3.34375,3.375,3.35790598290598,3.125,3.35659529473962,3.16666666666667,3.32291666666667,3.375,3.45559210526316,3.45804195804196,3.52941176470588,3.57142857142857,3.5,3.42857142857143,3.40909090909091,3.33333333333333,3.25,3.45454545454545,3.5,3.45454545454545,3.45454545454545,3.44949494949495,3.4,3.375,3.625,3.55555555555556,3.58571428571429,3.58333333333333,3.62142857142857,3.55902777777778,3.5,3.5,3.6,3.51923076923077
"Dupont Circle","Washington","DC","Washington-Arlington-Alexandria","District of Columbia",138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49117647058824,4.53461538461538,4.52579185520362,4.54166666666667,4.47692307692308,4.32,4.43666666666667,4.23529411764706,4.41176470588235,4.52,4.52,4.43076923076923,4.5,4.84615384615385,4.76923076923077,4.82307692307692,4.95,4.86307692307692,4.88,5.18769230769231,5.35714285714286,5.3609243697479,5.5,5.29962406015038,5.46,5.3609243697479,5.41235294117647,5.46,5.46,5.3609243697479,4.8,4.75,4.64285714285714,4.6875,4.79895437262357,4.88,4.65,4.75,4.7,4.75,4.78666666666667,4.88,4.73684210526316,4.73684210526316,4.81642585551331,4.62857142857143,5,4.68164794007491,4.4,4.4,4.86486486486486,5.14578947368421,5.09401709401709,5,5.07692307692308,5.11846153846154,5.2
"Hunters Point","New York","NY","New York-Newark-Jersey City","Queens County",139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99728997289973,4.12828947368421,4.21324117874037,4.22946527951298,4.33141931265812,4.33212996389892,4.32223339239146,4.32790185922577,4.43740095087163,4.43545081967213,4.15323437606173,4.12147505422993,4.06728384458157,4.0520984081042,4.0745492371706,4.11184210526316,4.14285714285714,4.185733512786,4.24949290060852,4.21324750411778,4.38668779714738,4.24791462895046,4.22028262676642,4.27451689708141,4.22932330827068,4.27849511530043,4.375,4.49348769898697
"Fremont","Seattle","WA","Seattle-Tacoma-Bellevue","King County",140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4975,2.4271934460888,2.45986374407583,2.4,2.34782608695652,2.45833333333333,2.46626686656672,2.49375,2.64957264957265,2.75,2.5,2.40719298245614,2.42105263157895,2.45454545454545,2.42105263157895,2.42105263157895,2.58823529411765,2.49375
"Mid-Cambridge","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85388127853881,2.90994623655914,2.81385281385281,2.80692640692641,2.88329336530775,2.92307692307692,3.04247916498099,3.225,3.24031869557161,3.0837154015962,3.12121176499976,3.04,2.9078431372549,2.75482093663912,2.78366046831956,3.07692307692308,3.09903381642512,2.92630486358244,2.95,3.08333333333333,3.04761904761905,3.13331350658858,2.91891891891892,3.01974448315912,2.82352941176471,2.76086685764105,2.88888888888889,2.94117647058824,2.94117647058824,3.05326335481189,3.08116883116883,3.3489827856025,2.75,3.11111111111111,2.8,3,3.04568527918782,2.70760233918129,2.91779279279279,2.90382081686429,3.02943396226415,3.06666666666667,3.15675990675991,3.375,3.26086956521739,3.11875,3.11764705882353,3.03846153846154,2.9016323024055,3.12142857142857,2.99423076923077,3,2.9125,3.06513409961686,3.1,3.21782178217822,3.2,3.18181818181818,3.10555555555556,3.15533980582524,3.30343915343915,3.1645131518228,3.18791946308725,3.42857142857143,3.39721254355401,3.35714285714286
"Riverside","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23107448107448,3.31632653061224,3.30658122911644,3.5,3.26136363636364,3.27035056446821,3,2.96863694551122,2.99114631873253,3.125,3.11111111111111,3.13545150501672,3.3125,3.5,3.54090909090909,3.40030911901082,3.16228070175439,3.19090909090909,3.17480158730159,3.1948275862069,3.08080282861897,3,3.13068181818182,3.19666666666667,3.3875,3.11749605055292,3.4
"Boerum Hill","New York","NY","New York-Newark-Jersey City","Kings County",143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.991875,3.75,3.76470588235294,3.75,3.75,3.68990384615385,3.75722222222222,3.88888888888889,4,3.92724867724868,3.89259639516313,3.86752136752137,3.66666666666667,3.75,3.67948717948718,3.76190476190476,3.76470588235294,3.81593406593407,4.04212121212121,4.22166527429685,4.26666666666667,4.54545454545455,4.28333333333333,4,3.66282051282051,3.62820512820513,3.89166666666667,4.2,4
"Wicker Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86215753424658,1.92828571428571,1.9125,1.97916666666667,1.78571428571429,1.75735294117647,1.68545751633987,1.66666666666667,1.65,1.746875,1.73058035714286,1.77222222222222,1.79166666666667,1.95,1.95,1.95454545454545,1.90454545454545,1.81818181818182,1.82142857142857,1.755,1.81158008658009,1.9,2,2.11875,1.96969696969697
"The Loop","Chicago","IL","Chicago-Naperville-Elgin","Cook County",145,,2.10984525344708,2.1261587905124,2.20238682619958,2.26412709479175,2.25,2.24383561643836,2.26239316239316,2.25619658119658,2.2463768115942,2.27083333333333,2.23540145985401,2.23724489795918,2.2481884057971,2.4400576976062,2.34139286434187,2.4094387755102,2.46541840381179,2.65916398713826,2.70795660036166,2.62690058479532,2.52777777777778,2.56638913234005,2.625,2.65729069694391,2.62331288343558,2.67742082271569,2.70795660036166,2.73116438356164,2.78541114058355,2.734375,2.62954369682908,2.6200496941896,2.67653604871073,2.69672131147541,2.58387699626232,2.6158889284056,2.61009174311927,2.59728731074261,2.7094470046083,2.78513238289206,2.76762402088773,2.89972401103956,2.92802320392682,2.80424407002818,2.79934210526316,2.73930753564155,2.59090909090909,2.79698216735254,2.81077694235589,2.78633004926108,2.90731707317073,2.89842805320435,2.94554455445545,2.88405797101449,2.86120401337793,2.92549223696765,2.8576834914959,2.75058685446009,2.65552807529701,2.76668438751793,2.85565217391304,2.91304347826087,2.92592592592593,3.03842140956753,3.02739726027397,3.2874432677761,2.86219081272085,2.77381201044386,2.8760690326215,2.80019425019425,2.83035714285714,2.80613830613831,2.85428571428571,2.80019425019425,2.91844300278035,2.86219081272085,2.80155593199071,2.98975774070038,2.91583333333333,2.76971418732782,2.73919523099851,2.5958904109589,2.72140221402214,2.77777777777778,2.79930555555556,3.07167235494881,3.07692307692308,3.14942338547934,3.18550250401698,2.93230769230769,2.90731707317073,2.78800557880056,2.45762711864407,2.61131596802266,2.58978768086623,2.55163934426229,2.65384615384615
"Downtown","New York","NY","New York-Newark-Jersey City","Kings County",146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69973890339426,4.81152060790832,4.43317626900835,4.55740578439965,4.6875,4.61019490254873,4.73872950819672,4.69151670951157,4.69151670951157,4.65416666666667,4.67032967032967,4.72992700729927,4.58333333333333,4.66155810983397,4.59642401021711,4.71450381679389,4.68183971915315,4.50243010948948,4.77843426883309,4.79750965053121,4.73574397339983,4.77794117002485,4.86065963787533,4.64697609001407,4.77744807121662,4.70065075921909,4.84460694698355,4.93972291149711,4.93972291149711
"Lower East Side","Milwaukee","WI","Milwaukee-Waukesha-West Allis","Milwaukee County",147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26707827845176,1.25926577845176,1.06068704304907,1.22604166666667,1.12068965517241,1.11607142857143,1.28225806451613,1.50980972098985,1.36363636363636,1.31477272727273,1.47058823529412,1.38636363636364
"Roscoe Village","Chicago","IL","Chicago-Naperville-Elgin","Cook County",148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75735294117647,1.75,1.6547619047619,1.61180555555556,1.55555555555556,1.6246857717446,1.52777777777778,1.55201349356947,1.52777777777778,1.76374077112387,1.65267857142857,1.63733766233766
"Sheffield Neighbors","Chicago","IL","Chicago-Naperville-Elgin","Cook County",149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11538461538462,2.04298642533937,2.04375,2.08333333333333,2.08653846153846,2.11651583710407,2.06271619496855,2.05590277777778,2.04736842105263,1.99285714285714,1.97857142857143,1.99285714285714,1.99285714285714,2.064,2.17647058823529,2.13333333333333,2.09,2.1,2.081,2.0276190029985,1.99583333333333,1.96650326797386,2,2,2.06794871794872,2.072
